mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.0	0	0	3/4	1	1		C.I{		C	I		I	I						{	M	0	0	0, 4, 1		0	0
2	2	3	3	0.5	0	0	3/4	1	1		V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
2	2	7/2	7/2	1.0	1/8	1/8	3/4	1	1		viio		C	I		viio	vii	o						o	0	0	5, 2, -1		5	5
2	2	9/2	9/2	0.5	3/8	3/8	3/4	1	1		V6(2)		C	I		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
2	2	5	5	1.0	1/2	1/2	3/4	1	1		V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	6	6	1.0	0	0	3/4	1	1		I		C	I		I	I							M	0	0	0, 4, 1		0	0
3	3	7	7	1.0	1/4	1/4	3/4	1	1		ii7/V		C	I		ii7/V	ii		7		V			mm7	0	0	3, 0, 4, 1		3	3
3	3	8	8	1.0	1/2	1/2	3/4	1	1		V7/V		C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
4	4	9	9	3.0	0	0	3/4	1	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
5	5	12	12	1.0	0	0	3/4	1	1		ii6(4)		C	I		ii6(4)	ii		6	4				m	0	0	1, 3, 2		2	1
5	5	13	13	2.0	1/4	1/4	3/4	1	1		ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
6	6	15	15	1.0	0	0	3/4	1	1		viio64		C	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
6	6	16	16	0.5	1/4	1/4	3/4	1	1		I6(2)		C	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4
6	6	33/2	33/2	0.5	3/8	3/8	3/4	1	1		I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	6	17	17	1.0	1/2	1/2	3/4	1	1		vi		C	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	18	18	1.0	0	0	3/4	1	1		ii7		C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
7	7	19	19	1.0	1/4	1/4	3/4	1	1		V		C	I		V	V							M	0	0	1, 5, 2		1	1
7	7	20	20	1.0	1/2	1/2	3/4	1	1		V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	8	21	21	3.0	0	0	3/4	1	1		I}{		C	I		I	I						}{	M	0	0	0, 4, 1		0	0
9	9	24	24	2.0	0	0	3/4	1	1		V.V2		C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
9	9	26	26	1.0	1/2	1/2	3/4	1	1		I6		C	V		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	27	27	1.0	0	0	3/4	1	1		IV	ii6	C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	10	28	28	1.0	1/4	1/4	3/4	1	1		V(64)		C	V		V(64)	V			64				M	0	0	1, 0, 4		1	1
10	10	29	29	1.0	1/2	1/2	3/4	1	1		V7		C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	11		30		0	0	3/4	1	1	1	I}		C	V		I	I						}	M	0	0	0, 4, 1		0	0
11	11		31		1/4	1/4	3/4	1	1	1	I.IV6(2)		C	I		IV6(2)	IV		6	2				M	0	0	3, 0, 1		-1	3
11	11		63/2		3/8	3/8	3/4	1	1	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
11	11		32		1/2	1/2	3/4	1	1	1	V6(2)		C	I		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
11	11		65/2		5/8	5/8	3/4	1	1	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
12	11	30	33	6.0	0	0	3/4	1	1	2	I}		C	V		I	I						}	M	0	0	0, 4, 1		0	0
13	12	33	36	0.0	0	0	3/4	1	1		{		C	V									{		0	0				
14	13	36	39	0.5	0	0	3/4	1	1		V6/ii		C	V		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
