mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	1	1	.G.I[I{		G	I	I	I	I						{	M	0	0	0, 4, 1		0	0
2	2	4	4.0	0	0	4/4	1	1	IV6		G	I	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
3	3	8	4.0	0	0	4/4	1	1	viio		G	I	I	viio	vii	o						o	0	0	5, 2, -1		5	5
4	4	12	4.0	0	0	4/4	1	1	I]		G	I	I	I	I							M	0	0	0, 4, 1		0	0
5	5	16	2.0	0	0	4/4	1	1	vi6		G	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
5	5	18	1.0	1/2	1/2	4/4	1	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
5	5	19	1.0	3/4	3/4	4/4	1	1	IV6/V		G	I		IV6/V	IV		6		V			M	0	0	4, 1, 0		0	4
6	6	20	4.0	0	0	4/4	1	1	V65/V		G	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
7	7	24	3.0	0	0	4/4	1	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
7	7	27	1.0	3/4	3/4	4/4	1	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
8	8	28	4.0	0	0	4/4	1	1	ii/V		G	I		ii/V	ii				V			m	0	0	3, 0, 4		3	3
9	9	32	4.0	0	0	4/4	1	1	viio6/V		G	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
10	10	36	4.0	0	0	4/4	1	1	V}		G	I		V	V						}	M	0	0	1, 5, 2		1	1
11	11	40	4.0	0	0	4/4	1	1	#viio43/ii{		G	I		#viio43/ii	#vii	o	43		ii		{	o7	0	0	1, -2, 7, 4		7	1
12	12	44	4.0	0	0	4/4	1	1	ii6		G	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
13	13	48	4.0	0	0	4/4	1	1	#viio/vi		G	I		#viio/vi	#vii	o			vi			o	0	0	8, 5, 2		8	8
