mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.5	0	11/8	3/2	1	1	1/8		1/8	1		0	48	C3	3	0
2	1	1/2	1.5	0	0	3/2	1	2	3/8		1/4	3/2		0	36	C2	2	11
2	1	1/2	1.5	0	0	3/2	1	1	3/8		1/4	3/2		0	48	C3	3	1
2	1	2	0.5	3/8	3/8	3/2	1	1	1/8		1/8	1		2	50	D3	3	2
2	1	5/2	0.5	1/2	1/2	3/2	1	1	1/8		1/8	1		-3	51	Eb3	3	3
2	1	3	0.5	5/8	5/8	3/2	1	1	1/8		1/8	1		-1	53	F3	3	4
2	1	7/2	0.5	3/4	3/4	3/2	1	1	1/8		1/8	1		1	55	G3	3	5
2	1	4	0.5	7/8	7/8	3/2	1	1	1/8		1/8	1		-4	56	Ab3	3	6
2	1	9/2	0.5	1	1	3/2	1	1	1/8		1/8	1		1	55	G3	3	7
2	1	5	0.5	9/8	9/8	3/2	1	1	1/8		1/8	1		-1	53	F3	3	8
2	1	11/2	0.5	5/4	5/4	3/2	1	1	1/8		1/8	1		1	55	G3	3	9
2	1	6	0.5	11/8	11/8	3/2	1	1	1/8		1/8	1		-3	51	Eb3	3	10
3	2	13/2	1.5	0	0	3/2	1	2	3/8		1/4	3/2		2	38	D2	2	20
3	2	13/2	1.5	0	0	3/2	1	3	3/8		1/4	3/2		5	47	B2	2	21
3	2	13/2	1.5	0	0	3/2	1	1	3/8		1/4	3/2		-1	53	F3	3	12
3	2	8	0.5	3/8	3/8	3/2	1	1	1/8		1/8	1		-3	51	Eb3	3	13
3	2	17/2	0.5	1/2	1/2	3/2	1	1	1/8		1/8	1		-3	51	Eb3	3	14
3	2	9	0.5	5/8	5/8	3/2	1	1	1/8		1/8	1		2	50	D3	3	15
3	2	19/2	0.5	3/4	3/4	3/2	1	1	1/8		1/8	1		0	48	C3	3	16
3	2	10	0.5	7/8	7/8	3/2	1	1	1/8		1/8	1		5	47	B2	2	17
3	2	21/2	1.5	1	1	3/2	1	1	3/8		1/4	3/2		0	48	C3	3	18
3	2	12	0.5	11/8	11/8	3/2	1	1	1/8		1/8	1		2	50	D3	3	19
4	3	25/2	1.5	0	0	3/2	1	2	3/8		1/4	3/2		-3	39	Eb2	2	31
4	3	25/2	1.5	0	0	3/2	1	1	3/8		1/4	3/2		1	43	G2	2	22
4	3	14	0.25	3/8	3/8	3/2	1	1	1/16		1/16	1		0	48	C3	3	23
4	3	57/4	0.25	7/16	7/16	3/2	1	1	1/16		1/16	1		5	47	B2	2	24
4	3	29/2	1.0	1/2	1/2	3/2	1	1	1/4		1/4	1		0	48	C3	3	25
4	3	31/2	1.0	3/4	3/4	3/2	1	1	1/4		1/4	1		2	50	D3	3	26
4	3	33/2	0.5	1	1	3/2	1	1	1/8		1/8	1		-1	53	F3	3	27
4	3	17	0.5	9/8	9/8	3/2	1	1	1/8		1/8	1		-3	51	Eb3	3	28
4	3	35/2	0.5	5/4	5/4	3/2	1	1	1/8		1/8	1		2	50	D3	3	29
4	3	18	0.5	11/8	11/8	3/2	1	1	1/8		1/8	1		0	48	C3	3	30
5	4	37/2	1.5	0	0	3/2	1	2	3/8		1/4	3/2		-1	41	F2	2	39
5	4	37/2	1.5	0	0	3/2	1	4	3/8		1/4	3/2		0	48	C3	3	43
5	4	37/2	1.5	0	0	3/2	1	3	3/8		1/4	3/2		-1	53	F3	3	42
5	4	37/2	1.5	0	0	3/2	1	1	3/8		1/4	3/2		-2	58	Bb3	3	32
5	4	20	0.5	3/8	3/8	3/2	1	1	1/8		1/8	1		-1	53	F3	3	33
5	4	41/2	0.0	1/2	1/2	3/2	1	1	0	appoggiatura	1/8	1		2	62	D4	4	34
5	4	41/2	1.0	1/2	1/2	3/2	1	1	1/4		1/4	1		7	61	C#4	4	35
