mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.5	0	5/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	0
1	0	1/2	0.5	1/8	3/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	1
1	0	1	0.5	1/4	7/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	2
2	1	3/2	0.5	0	0	2/2	1	1	1/8	1/8	1		5	83	B5	5	3
2	1	2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	4
2	1	5/2	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	5
2	1	3	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	6
2	1	7/2	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	74	D5	5	7
2	1	4	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	8
2	1	9/2	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		5	83	B5	5	9
2	1	5	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	10
3	2	11/2	0.5	0	0	2/2	1	1	1/8	1/8	1		1	79	G5	5	11
3	2	6	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	12
3	2	13/2	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		4	76	E5	5	13
3	2	7	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	14
3	2	15/2	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		7	73	C#5	5	15
3	2	8	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	16
3	2	17/2	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		10	70	A#4	4	17
3	2	9	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		1	79	G5	5	18
4	3	19/2	0.5	0	0	2/2	1	1	1/8	1/8	1		6	78	F#5	5	19
4	3	10	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	20
4	3	21/2	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		7	73	C#5	5	21
