mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	1/2	2/2	1	1	1/2		1/2	1		1	67	G4	4	0
2	2	2	1.0	0	0	2/2	1	1	1/4		1/4	1		3	69	A4	4	1
2	2	3	0.5	1/4	1/4	2/2	1	1	1/8		1/8	1		1	67	G4	4	2
2	2	7/2	0.5	3/8	3/8	2/2	1	1	1/8		1/8	1		-1	65	F4	4	3
2	2	4	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		4	64	E4	4	4
2	2	5	1.0	3/4	3/4	2/2	1	1	1/4		1/4	1		-1	65	F4	4	5
3	3	6	2.0	0	0	2/2	1	1	1/2		1/2	1		1	67	G4	4	6
3	3	8	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		2	62	D4	4	7
3	3	9	1.0	3/4	3/4	2/2	1	1	1/4		1/4	1		4	64	E4	4	8
4	4	10	1.0	0	0	2/2	1	1	1/4		1/4	1		-1	65	F4	4	9
4	4	11	1.0	1/4	1/4	2/2	1	1	1/4		1/4	1		4	64	E4	4	10
4	4	12	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		-1	65	F4	4	11
4	4	13	0.5	3/4	3/4	2/2	1	1	1/8		1/8	1		1	67	G4	4	12
4	4	27/2	0.5	7/8	7/8	2/2	1	1	1/8		1/8	1		-1	65	F4	4	13
5	5	14	1.0	0	0	2/2	1	2	1/4		1/4	1		4	64	E4	4	15
5	5	15	0.5	1/4	1/4	2/2	1	2	1/8		1/8	1		-1	65	F4	4	16
5	5	31/2	0.5	3/8	3/8	2/2	1	2	1/8		1/8	1		1	67	G4	4	17
5	5	16	2.0	1/2	1/2	2/2	1	2	1/2		1/2	1		3	69	A4	4	18
5	5	16	2.0	1/2	1/2	2/2	1	1	1/2		1/2	1		0	72	C5	5	14
6	6	18	2.0	0	0	2/2	1	2	1/2		1/2	1		8	68	G#4	4	24
6	6	18	1.0	0	0	2/2	1	1	1/4		1/4	1		4	76	E5	5	19
6	6	19	0.5	1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	20
6	6	39/2	0.5	3/8	3/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	21
6	6	20	2.0	1/2	1/2	2/2	1	2	1/2		1/2	1		1	67	G4	4	25
6	6	20	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		5	71	B4	4	22
6	6	21	1.0	3/4	3/4	2/2	1	1	1/4		1/4	1		7	73	C#5	5	23
7	7	22	2.0	0	0	2/2	1	2	1/2		1/2	1		6	66	F#4	4	29
7	7	22	2.0	0	0	2/2	1	1	1/2		1/2	1		2	74	D5	5	26
7	7	24	2.0	1/2	1/2	2/2	1	2	1/2		1/2	1		-1	65	F4	4	30
7	7	24	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		3	69	A4	4	27
7	7	25	1.0	3/4	3/4	2/2	1	1	1/4		1/4	1		5	71	B4	4	28
8	8	26	1.0	0	0	2/2	1	2	1/4		1/4	1		4	64	E4	4	36
8	8	26	1.0	0	0	2/2	1	1	1/4		1/4	1		0	72	C5	5	31
8	8	27	1.0	1/4	1/4	2/2	1	2	1/4		1/4	1		2	62	D4	4	37
8	8	27	1.0	1/4	1/4	2/2	1	1	1/4		1/4	1		5	71	B4	4	32
8	8	28	1.0	1/2	1/2	2/2	1	2	1/4		1/4	1		4	64	E4	4	38
8	8	28	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		0	72	C5	5	33
8	8	29	1.0	3/4	3/4	2/2	1	2	1/4		1/4	1		6	66	F#4	4	39
8	8	29	0.5	3/4	3/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	34
8	8	59/2	0.5	7/8	7/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	35
9	9	30	1.0	0	0	2/2	1	2	1/4		1/4	1		1	67	G4	4	44
9	9	30	1.0	0	0	2/2	1	1	1/4		1/4	1		5	71	B4	4	40
9	9	31	1.0	1/4	1/4	2/2	1	2	1/4		1/4	1		-1	65	F4	4	45
