mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.5	4	6/8	1/8	5/8		1			firstMeasure	2
2	1	1/2	3.0	4	6/8	3/4	0						3
3	2	7/2	3.0	4	6/8	3/4	0						4
4	3	13/2	3.0	4	6/8	3/4	0						5
5	4	19/2	3.0	4	6/8	3/4	0				line		6
6	5	25/2	3.0	4	6/8	3/4	0						7
7	6	31/2	3.0	4	6/8	3/4	0						8
8	7	37/2	3.0	4	6/8	3/4	0				line		9
9	8	43/2	3.0	4	6/8	3/4	0						10
10	9	49/2	3.0	4	6/8	3/4	0						11
11	10	55/2	3.0	4	6/8	3/4	0				line		12
12	11	61/2	3.0	4	6/8	3/4	0						13
13	12	67/2	3.0	4	6/8	3/4	0						14
14	13	73/2	3.0	4	6/8	3/4	0				line		15
15	14	79/2	3.0	4	6/8	3/4	0						16
16	15	85/2	3.0	4	6/8	3/4	0						17
17	16	91/2	2.5	4	6/8	5/8	0				line	end	1, 18
18	16	48	0.5	4	6/8	1/8	5/8		1	start-repeat		start	19
19	17	97/2	3.0	4	6/8	3/4	0						20
20	18	103/2	3.0	4	6/8	3/4	0				line		21
21	19	109/2	3.0	4	6/8	3/4	0						22
22	20	115/2	3.0	4	6/8	3/4	0						23
23	21	121/2	3.0	4	6/8	3/4	0				line		24
24	22	127/2	3.0	4	6/8	3/4	0						25
25	23	133/2	3.0	4	6/8	3/4	0						26
26	24	139/2	3.0	4	6/8	3/4	0				line		27
27	25	145/2	3.0	4	6/8	3/4	0						28
28	26	151/2	3.0	4	6/8	3/4	0						29
29	27	157/2	3.0	4	6/8	3/4	0				line		30
30	28	163/2	3.0	4	6/8	3/4	0						31
31	29	169/2	3.0	4	6/8	3/4	0						32
32	30	175/2	3.0	4	6/8	3/4	0				line		33
33	31	181/2	3.0	4	6/8	3/4	0						34
34	32	187/2	2.5	4	6/8	5/8	0				line	end	18, -1
