mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0	0.25	2	4/4	1/16	15/16			1			firstMeasure	2
2	1	1/4	1/4	4.0	2	4/4	1	0						start	3
3	2	17/4	17/4	4.0	2	4/4	1	0							4
4	3	33/4	33/4	4.0	2	4/4	1	0							5
5	4	49/4	49/4	4.0	2	4/4	1	0							6
6	5	65/4	65/4	4.0	2	4/4	1	0							7
7	6	81/4	81/4	4.0	2	4/4	1	0							8
8	7	97/4	97/4	4.0	2	4/4	1	0							9
9	8	113/4	113/4	4.0	2	4/4	1	0							10
10	9	129/4	129/4	4.0	2	4/4	1	0							11
11	10	145/4	145/4	4.0	2	4/4	1	0							12
12	11	161/4	161/4	4.0	2	4/4	1	0							13, 14
13	12		177/4	4.0	2	4/4	1	0	1					end	2
14	12	177/4	193/4	4.0	2	4/4	1	0	2		1				15
15	13	193/4	209/4	4.0	2	4/4	1	0						start	16
16	14	209/4	225/4	4.0	2	4/4	1	0							17
17	15	225/4	241/4	4.0	2	4/4	1	0							18
18	16	241/4	257/4	4.0	2	4/4	1	0							19
19	17	257/4	273/4	4.0	2	4/4	1	0							20
20	18	273/4	289/4	4.0	2	4/4	1	0							21
21	19	289/4	305/4	4.0	2	4/4	1	0							22
22	20	305/4	321/4	4.0	2	4/4	1	0							23
23	21	321/4	337/4	4.0	2	4/4	1	0							24
24	22	337/4	353/4	4.0	2	4/4	1	0							25
25	23	353/4	369/4	4.0	2	4/4	1	0							26, 27
26	24		385/4	4.0	2	4/4	1	0	1					end	15
27	24	369/4	401/4	4.0	2	4/4	1	0	2		1			lastMeasure	-1
