mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.25	2	2/2	1/16	15/16		1			firstMeasure	2
2	1	1/4	4.0	2	2/2	1	0						3
3	2	17/4	4.0	2	2/2	1	0						4
4	3	33/4	4.0	2	2/2	1	0				line		5
5	4	49/4	4.0	2	2/2	1	0						6
6	5	65/4	4.0	2	2/2	1	0						7
7	6	81/4	4.0	2	2/2	1	0				line		8
8	7	97/4	4.0	2	2/2	1	0						9
9	8	113/4	4.0	2	2/2	1	0						10
10	9	129/4	4.0	2	2/2	1	0				line		11
11	10	145/4	4.0	2	2/2	1	0						12
12	11	161/4	4.0	2	2/2	1	0						13
13	12	177/4	3.75	2	2/2	15/16	0				line	end	1, 14
14	12	48	0.25	2	2/2	1/16	15/16		1	start-repeat		start	15
15	13	193/4	4.0	2	2/2	1	0						16
16	14	209/4	4.0	2	2/2	1	0						17
17	15	225/4	4.0	2	2/2	1	0				line		18
18	16	241/4	4.0	2	2/2	1	0						19
19	17	257/4	4.0	2	2/2	1	0						20
20	18	273/4	4.0	2	2/2	1	0				line		21
21	19	289/4	4.0	2	2/2	1	0						22
22	20	305/4	4.0	2	2/2	1	0						23
23	21	321/4	4.0	2	2/2	1	0				line		24
24	22	337/4	4.0	2	2/2	1	0						25
25	23	353/4	4.0	2	2/2	1	0						26
26	24	369/4	3.75	2	2/2	15/16	0				line	end	14, -1
