mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	4/4	1	1	Eb.I6{	Eb	I		I6	I		6				{	M	0	0	1, -2, -3		-3	1	0	2	0.0	0.0	0.5	0.0
2	1	0	0	4/4	1	1	IV	Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.5	0.0
2	1	1/4	1/4	4/4	1	1	ii6	Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	0	1	0.0	0.0	0.25	0.0
2	1	1/2	1/2	4/4	1	1	V	Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.75	0.0
3	2	0	0	4/4	1	1	vi	Eb	I		vi	vi							m	0	0	0, -3, 1		0	0	1	3	0.25	0.125	0.625	0.16666666666666666
3	2	1/2	1/2	4/4	1	1	I6	Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.75	0.0
4	3	0	0	4/4	1	1	ii6	Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	0	2	0.0	0.0	0.5	0.0
4	3	1/2	1/2	4/4	1	1	V	Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
5	4	0	0	4/4	1	1	I|PAC}	Eb	I		I	I					PAC	}	M	0	0	-3, 1, -2		-3	-3	0	5	0.0	0.0	1.25	0.0
6	5	0	0	4/4	1	1	IV(9)	Eb	I		IV(9)	IV			9				M	0	0	-4, 0, -3	-2	-4	-4	0	2	0.0	0.0	0.5	0.0
6	5	1/4	1/4	4/4	1	1	IV	Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	0	1	0.0	0.0	0.25	0.0
6	5	1/2	1/2	4/4	1	1	I6(6)	Eb	I		I6(6)	I		6	6				M	0	0	1, 0, -3		-3	1	0	2	0.0	0.0	0.5	0.0
6	5	3/4	3/4	4/4	1	1	I6	Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	0	1	0.0	0.0	0.25	0.0
7	6	0	0	4/4	1	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	-1, -4, 2		2	-1	1	4	0.2	0.125	0.875	0.125
8	7	0	0	4/4	1	1	V65	Eb	I		V65	V		65					Mm7	0	0	2, -1, -4, -2		-2	2	0	3	0.0	0.0	0.75	0.0
8	7	1/2	1/2	4/4	1	1	I(4)	Eb	I		I(4)	I			4				M	0	0	-3, -4, -2		-3	-3	0	2	0.0	0.0	0.5	0.0
8	7	3/4	3/4	4/4	1	1	I	Eb	I		I	I							M	0	0	-3, 1, -2		-3	-3	0	1	0.0	0.0	0.25	0.0
9	8	0	0	4/4	1	1	V|HC}	Eb	I		V	V					HC	}	M	0	0	-2, 2, -1		-2	-2	3	3	0.5	0.375	0.375	0.5
9	8	3/4	3/4	4/4	1	1	I6{	Eb	I		I6	I		6				{	M	0	0	1, -2, -3		-3	1	0	2	0.0	0.0	0.5	0.0
10	9	0	0	4/4	1	1	IV	Eb	I		IV	IV							M	0	0	-4, 0, -3		-4	-4	0	2	0.0	0.0	0.5	0.0
10	9	1/4	1/4	4/4	1	1	ii6	Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	0	1	0.0	0.0	0.25	0.0
10	9	1/2	1/2	4/4	1	1	V	Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.75	0.0
11	10	0	0	4/4	1	1	vi	Eb	I		vi	vi							m	0	0	0, -3, 1		0	0	1	3	0.25	0.125	0.625	0.16666666666666666
11	10	1/2	1/2	4/4	1	1	I6	Eb	I		I6	I		6					M	0	0	1, -2, -3		-3	1	0	3	0.0	0.0	0.75	0.0
12	11	0	0	4/4	1	1	ii6	Eb	I		ii6	ii		6					m	0	0	-4, 0, -1		-1	-4	0	2	0.0	0.0	0.5	0.0
12	11	1/2	1/2	4/4	1	1	V	Eb	I		V	V							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
13	12	0	0	4/4	1	1	I|PAC}	Eb	I		I	I					PAC	}	M	0	0	-3, 1, -2		-3	-3	0	3	0.0	0.0	2.25	0.0
